Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Bethel
Station ID: USW00026615
Downloaded: Wed Nov 22 2023 08:57:33 GMT-0800 (Pacific Standard Time)

"Season","Seasonal Total Snowfall (in)"
"1922-1923",""
"1923-1924",""
"1924-1925",""
"1925-1926","8.5"
"1926-1927",""
"1927-1928",""
"1928-1929","36.7"
"1929-1930","24.9"
"1930-1931","24.5"
"1931-1932",""
"1932-1933","47.1"
"1933-1934",""
"1934-1935","46.8"
"1935-1936",""
"1936-1937",""
"1937-1938",""
"1938-1939",""
"1939-1940",""
"1940-1941","32.9"
"1941-1942","37.3"
"1942-1943","50.7"
"1943-1944","59.4"
"1944-1945","34.8"
"1945-1946","27.7"
"1946-1947","49.8"
"1947-1948","53.6"
"1948-1949","77"
"1949-1950","45.7"
"1950-1951","100.3"
"1951-1952","177.5"
"1952-1953","29.7"
"1953-1954","53.9"
"1954-1955","68"
"1955-1956","62.2"
"1956-1957","37.5"
"1957-1958","28.1"
"1958-1959","47.8"
"1959-1960","41.1"
"1960-1961","53.7"
"1961-1962","52.5"
"1962-1963","56.2"
"1963-1964","44.7"
"1964-1965","53.7"
"1965-1966","41.2"
"1966-1967","46.8"
"1967-1968","41.8"
"1968-1969","56.6"
"1969-1970","39.5"
"1970-1971","56.7"
"1971-1972","56.7"
"1972-1973","45.8"
"1973-1974","46.6"
"1974-1975","50.1"
"1975-1976","36.5"
"1976-1977","52.1"
"1977-1978","40.2"
"1978-1979","48.9"
"1979-1980","52.9"
"1980-1981","27.8"
"1981-1982","57.7"
"1982-1983","31.9"
"1983-1984","16.5"
"1984-1985","55.6"
"1985-1986","33.5"
"1986-1987","24.2"
"1987-1988","41.5"
"1988-1989","61.3"
"1989-1990","61.6"
"1990-1991","69.6"
"1991-1992","63.4"
"1992-1993","91.3"
"1993-1994","63.4"
"1994-1995","66.2"
"1995-1996","60.4"
"1996-1997","57.6"
"1997-1998","73.2"
"1998-1999","46.5"
"1999-2000","71.9"
"2000-2001","96.9"
"2001-2002","87.7"
"2002-2003","42.2"
"2003-2004","70.9"
"2004-2005","77.1"
"2005-2006","103.1"
"2006-2007","58.2"
"2007-2008","103.1"
"2008-2009","84.6"
"2009-2010","43.5"
"2010-2011","62.8"
"2011-2012","85.1"
"2012-2013","40.1"
"2013-2014","27.8"
"2014-2015","42.6"
"2015-2016","29.9"
"2016-2017","31.3"
"2017-2018","45.3"
"2018-2019",""
"2019-2020",""
"Average","53.4"
