Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Bethel
Station ID: USW00026615
Downloaded: Wed Nov 22 2023 08:57:05 GMT-0800 (Pacific Standard Time)

"Year","Annual Maximum Temperature (degF)","Annual Maximum Temperature date","Annual Minimum Temperature (degF)","Annual Minimum Temperature date","Annual Average Temperature (degF)"
"1923","","","","",""
"1924","82","1924-06-22","-38","1924-01-21","28.2"
"1925","84","1925-08-02","-40","1925-02-09","39.3"
"1926","90","1926-06-17","-33","1926-02-25","33.9"
"1927","74","1927-07-21","-33","1927-02-05","27.1"
"1928","82","1928-06-08","-33","1928-01-10","29"
"1929","79","1929-06-25","-31","1929-12-30","31.6"
"1930","79","1930-08-10","-33","1930-03-12","28.1"
"1931","77","1931-06-23","-37","1931-02-27","29.2"
"1932","74","1932-07-23","-39","1932-02-27","27.8"
"1933","74","1933-07-21","-41","1933-01-24","26.6"
"1934","87","1934-06-29","-46","1934-01-15","30.3"
"1935","82","1935-06-17","-34","1935-12-13","32.8"
"1936","86","1936-06-15","-39","1936-12-17","31.2"
"1937","80","1937-06-19","-28","1937-03-07","31.6"
"1938","79","1938-06-24","-35","1938-02-26","29.7"
"1939","87","1939-06-28","-40","1939-12-02","24.7"
"1940","75","1940-06-14","-29","1940-03-17","32.5"
"1941","79","1941-06-10","-36","1941-01-29","31"
"1942","78","1942-06-20","-29","1942-12-26","30.9"
"1943","82","1943-06-22","-33","1943-12-17","29.5"
"1944","78","1944-07-08","-44","1944-01-28","30.2"
"1945","78","1945-07-09","-27","1945-11-30","29.5"
"1946","78","1946-07-01","-39","1946-02-08","27.5"
"1947","78","1947-08-06","-52","1947-01-25","28.3"
"1948","78","1948-07-15","-44","1948-12-31","27.6"
"1949","78","1949-07-12","-44","1949-01-01","28.7"
"1950","81","1950-08-12","-26","1950-12-22","30.2"
"1951","86","1951-07-12","-45","1951-01-14","29.3"
"1952","82","1952-07-21","-32","1952-01-08","28"
"1953","84","1953-06-26","-35","1953-02-04","29"
"1954","79","1954-06-19","-42","1954-01-06","27.6"
"1955","76","1955-07-21","-38","1955-01-03","27.4"
"1956","84","1956-07-13","-42","1956-03-01","24.8"
"1957","79","1957-07-10","-41","1957-12-28","32.7"
"1958","79","1958-07-02","-29","1958-01-17","30.8"
"1959","86","1959-06-19","-32","1959-12-19","27"
"1960","83","1960-07-14","-33","1960-01-13","28.8"
"1961","76","1961-07-15","-34","1961-12-28","25.8"
"1962","83","1962-06-19","-30","1962-01-29","28.7"
"1963","81","1963-07-10","-32","1963-01-08","29"
"1964","77","1964-07-08","-39","1964-03-14","25.5"
"1965","76","1965-07-30","-33","1965-02-15","27.3"
"1966","83","1966-07-24","-35","1966-03-21","27"
"1967","82","1967-07-12","-30","1967-01-03","31.5"
"1968","83","1968-07-25","-30","1968-01-20","29"
"1969","79","1969-06-15","-36","1969-02-11","30.5"
"1970","76","1970-06-07","-40","1970-01-29","28.6"
"1971","78","1971-07-05","-37","1971-01-31","25.1"
"1972","83","1972-07-07","-30","1972-01-10","26.6"
"1973","76","1973-06-23","-46","1973-01-21","27.9"
"1974","82","1974-07-02","-35","1974-12-27","27.8"
"1975","78","1975-07-24","-37","1975-12-10","26.1"
"1976","79","1976-06-12","-37","1976-02-08","26"
"1977","84","1977-08-21","-36","1977-03-05","30"
"1978","75","1978-08-06","-33","1978-02-08","32.7"
"1979","76","1979-08-22","-25","1979-12-29","30.6"
"1980","80","1980-07-19","-40","1980-01-17","29.3"
"1981","78","1981-08-26","-21","1981-02-19","33.8"
"1982","75","1982-07-08","-22","1982-01-06","30.7"
"1983","71","1983-07-30","-23","1983-01-12","30.9"
"1984","78","1984-07-01","-30","1984-02-20","29"
"1985","81","1985-08-02","-21","1985-02-21","30.9"
"1986","83","1986-06-15","-21","1986-01-24","30.6"
"1987","81","1987-07-27","-30","1987-12-05","29.7"
"1988","79","1988-07-20","-29","1988-02-20","29.6"
"1989","81","1989-07-03","-48","1989-01-28","29.8"
"1990","81","1990-07-20","-38","1990-02-09","28.9"
"1991","77","1991-07-23","-32","1991-01-15","31"
"1992","73","1992-08-02","-31","1992-02-03","27.6"
"1993","83","1993-07-20","-33","1993-02-01","34.2"
"1994","76","1994-08-05","-33","1994-12-23","29.7"
"1995","73","1995-07-10","-29","1995-01-26","31.4"
"1996","77","1996-06-16","-25","1996-02-10","30.8"
"1997","82","1997-07-05","-36","1997-01-07","31.1"
"1998","76","1998-06-30","-37","1998-12-13","30.5"
"1999","74","1999-07-12","-39","1999-02-01","24.7"
"2000","80","2000-06-24","-35","2000-01-04","32.9"
"2001","78","2001-06-17","-36","2001-12-15","29.2"
"2002","84","2002-08-03","-25","2002-01-25","34.3"
"2003","87","2003-08-09","-37","2003-01-07","33.7"
"2004","84","2004-06-27","-29","2004-01-18","33.5"
"2005","84","2005-08-13","-27","2005-12-03","31.5"
"2006","78","2006-07-06","-29","2006-02-02","29.7"
"2007","80","2007-07-04","-32","2007-01-07","32.6"
"2008","85","2008-07-05","-35","2008-01-13","27.3"
"2009","80","2009-07-12","-29","2009-02-17","29.8"
"2010","76","2010-06-21","-28","2010-02-27","28.6"
"2011","72","2011-05-26","-32","2011-12-31","29.5"
"2012","78","2012-08-13","-34","2012-02-03","25.7"
"2013","88","2013-06-18","-24","2013-02-15","30.7"
"2014","78","2014-07-30","-16","2014-02-13","34.9"
"2015","84","2015-06-19","-22","2015-01-25","34.1"
"2016","85","2016-07-13","-18","2016-12-02","36.7"
"2017","80","2017-08-06","-31","2017-01-22","33.2"
"2018","78","2018-07-03","-22","2018-12-20","35"
"2019","89","2019-07-08","-28","2019-12-29","36.8"
"2020","77","2020-07-16","-28","2020-02-01","31.7"
"2021","83","2021-08-03","-28","2021-11-28","30.1"
"2022","82","2022-07-09","-26","2022-02-08","32.7"
"Overall","90","1926-06-17","-52","1947-01-25","30"
