Sample_ID,Year,Band_ID,Species,AgeClass,Sex,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L1_GenBank,L2_GenBank,L3_GenBank,H1_GenBank,H2_GenBank,H3_GenBank,P1_GenBank,P2_GenBank,P3_GenBank
EMGO AK98 001,1998,57225,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 002,1998,57226,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574922,MW574922,MW574922,,,,,,
EMGO AK98 003,1998,57232,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 004,1998,57241,Emperor goose,AHY,F,Nesting,1,0,0,0,0,0,0,0,0,MW574916,,,,,,,,
EMGO AK98 005,1998,57252,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 006,1998,57253,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 007,1998,57254,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 008,1998,57255,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 009,1998,57803,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 010,1998,57834,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 011,1998,57871,Emperor goose,AHY,F,Nesting,1,0,1,0,0,0,0,0,0,MW574916,,MW574916,,,,,,
EMGO AK98 012,1998,57872,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 013,1998,57873,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 014,1998,57875,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 015,1998,57879,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574916,MW574916,MW574916,,,,,,
EMGO AK98 016,1998,57881,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574916,MW574916,MW574916,,,,,,
