Sample_ID,Year,Band_ID,AgeClass,Sex,Mass,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L_GenBank,H_GenBank,P_GenBank
EMGO AK06 001,2006,78239,AHY,F,1578,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 002,2006,78238,AHY,F,1598,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 003,2006,78224,AHY,F,1759,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 004,2006,78232,AHY,F,1652,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 005,2006,78223,AHY,F,1590,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 006,2006,78235,AHY,F,1647,Nesting,1,0,0,0,0,0,0,0,0,MW960783,,
EMGO AK06 007,2006,78240,AHY,F,1770,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 008,2006,78217,AHY,F,1720,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 009,2006,78226,AHY,F,1663,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 010,2006,78222,AHY,F,1937,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 011,2006,78208,AHY,F,1660,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 012,2006,78234,AHY,F,1768,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 013,2006,78203,AHY,F,1995,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 014,2006,78214,AHY,F,1823,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 015,2006,78231,AHY,F,1654,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 016,2006,78213,AHY,F,1670,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 017,2006,78210,AHY,F,1752,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 018,2006,78237,AHY,F,1660,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 019,2006,78202,AHY,F,1649,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 020,2006,78216,AHY,F,1734,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 021,2006,57552,AHY,F,1592,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 022,2006,57228,AHY,F,1622,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 023,2006,78204,AHY,F,1665,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 024,2006,78236,AHY,F,1738,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 025,2006,78206,AHY,F,1593,Nesting,1,0,0,0,0,0,0,0,0,mixed,,
EMGO AK06 026,2006,78211,AHY,F,1830,Nesting,1,0,0,0,0,0,0,0,0,"MW960832, MW960887",,
EMGO AK06 027,2006,78215,AHY,F,1719,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK06 028,2006,78227,AHY,F,1537,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 001,2007,57606,AHY,F,1714,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 002,2007,78473,AHY,F,1860,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 003,2007,94204,AHY,F,1450,Nesting,1,1,1,0,0,0,0,0,0,MW960784,,
EMGO AK07 004,2007,78701,AHY,F,1735,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 005,2007,26088,AHY,F,1611,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 006,2007,78742,AHY,F,1435,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 007,2007,57031,AHY,F,1490,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 008,2007,78707,AHY,F,1755,Nesting,0,1,1,0,0,0,0,0,0,"MW960833, MW960888",,
EMGO AK07 009,2007,56952,AHY,F,1985,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 010,2007,57519,AHY,F,1609,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 011,2007,57616,AHY,F,1768,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 012,2007,78712,AHY,F,1732,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 013,2007,26095,AHY,F,1672,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 014,2007,78237,AHY,F,1696,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 015,2007,78232,AHY,F,1724,Nesting,1,0,0,0,0,0,0,0,0,MW960889,,
EMGO AK07 016,2007,78713,AHY,F,1608,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 017,2007,78721,AHY,F,1534,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 018,2007,57656,AHY,F,1651,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 019,2007,26090,AHY,F,1661,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 020,2007,57630,AHY,F,1675,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 021,2007,78730,AHY,F,1968,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 022,2007,78728,AHY,F,1380,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 023,2007,78722,AHY,F,1578,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 024,2007,78724,AHY,F,1555,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 025,2007,04509,AHY,F,1821,Nesting,1,1,1,0,0,0,0,0,0,"MW960834, MW960890",,
EMGO AK07 026,2007,78726,AHY,F,1888,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 027,2007,56985,AHY,F,1708,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 028,2007,78477,AHY,F,1701,Nesting,1,1,1,0,0,0,0,0,0,"MW960835, MW960891",,
EMGO AK07 029,2007,78729,AHY,F,1646,Nesting,0,0,0,0,0,0,0,0,0,,,
