Band_ID,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
36970,U,0,0,0,U,I,I,0,0,0,0
94031,U,U,0,0,0,0,0,0,0,0,0
94051,0,U,0,0,0,0,0,0,0,0,0
94054,0,U,0,0,0,U,0,0,0,0,0
94204,0,I,U,0,0,0,0,0,0,0,0
94205,0,0,0,C,0,0,0,0,0,0,0
94213,0,U,0,0,0,0,0,0,0,0,0
94216,U,U,0,0,0,0,0,0,0,0,0
26015,U,U,C,0,0,U,0,0,0,0,0
26038,0,0,U,0,0,0,0,0,0,0,0
26048,U,C,0,U,0,U,0,0,U,0,0
26049,U,U,0,0,0,0,0,0,0,0,0
26051,U,U,0,U,U,0,0,0,0,0,0
26052,U,0,U,0,0,0,0,U,0,U,U
26056,U,U,0,0,0,0,0,0,0,0,0
26057,U,U,U,0,U,U,0,U,0,0,U
26058,U,U,0,0,0,0,0,0,0,0,0
26061,U,U,0,0,0,0,0,0,0,0,0
26063,0,0,U,U,0,0,0,0,0,0,0
26084,0,U,U,U,0,0,U,C,0,0,0
26086,0,0,C,0,0,0,0,0,0,0,0
26087,0,U,0,U,U,0,U,C,0,0,0
26088,0,C,0,U,U,C,U,C,0,0,0
26090,0,C,C,U,0,C,0,C,U,0,0
26095,0,C,U,U,U,0,I,0,0,0,0
26904,U,U,0,U,0,0,0,0,0,0,0
26911,0,0,U,U,U,U,U,U,U,U,0
26913,0,C,0,0,0,0,0,0,0,0,0
26916,0,0,0,0,C,U,0,0,0,0,0
26968,U,U,0,0,0,0,0,0,0,0,0
26969,0,U,U,0,U,U,C,0,U,0,C
26983,U,U,U,U,U,U,I,I,U,I,0
26991,0,U,0,0,0,0,0,0,0,0,0
26992,U,0,0,C,U,0,U,0,0,0,0
26994,0,U,U,0,0,0,0,0,0,0,0
26998,U,U,U,U,U,U,0,0,0,0,0
56632,0,U,0,0,0,0,0,0,0,0,0
56682,U,U,0,0,0,0,0,0,0,0,0
56792,0,U,0,U,0,0,0,0,0,0,0
56952,U,C,0,0,0,0,0,0,0,0,0
56985,0,C,U,U,0,U,0,0,0,0,0
56992,U,U,0,U,U,0,0,U,0,0,0
57031,0,C,U,0,0,0,0,0,0,0,0
57209,U,U,C,0,C,0,0,0,0,0,0
57210,0,0,0,0,0,0,0,U,0,0,0
57223,U,U,0,0,0,0,0,0,0,0,0
57228,C,C,U,0,0,0,0,0,0,0,0
57430,U,U,0,0,0,0,0,0,0,0,0
57501,0,U,C,0,U,U,0,0,0,0,0
57502,0,U,0,U,U,0,0,U,0,0,0
57512,0,U,0,U,U,U,U,0,0,0,0
57514,U,U,0,0,0,0,0,0,0,0,0
57519,U,C,0,0,0,0,0,0,0,0,0
57552,C,0,0,0,0,0,0,0,0,0,0
57555,0,U,0,0,0,0,0,0,0,0,0
57581,0,U,U,0,0,0,0,0,0,0,0
57606,0,C,U,U,U,0,0,0,0,0,0
57609,0,U,0,0,0,0,0,0,0,0,0
57614,0,0,U,U,0,U,U,U,U,U,0
57616,0,C,U,U,U,C,0,0,0,0,0
57619,0,C,U,C,0,0,0,0,0,0,0
57630,U,C,U,U,0,0,0,0,0,0,0
57633,0,U,0,0,0,0,0,0,0,0,0
57640,U,0,0,0,U,C,0,0,0,0,0
57648,U,0,0,U,C,U,0,U,U,0,0
57649,U,U,0,0,0,0,0,0,0,0,0
57656,0,C,0,0,0,0,0,0,0,0,0
57657,U,U,0,0,0,0,0,0,0,0,0
57916,U,0,U,0,0,0,0,0,0,0,0
57918,0,0,U,0,0,0,0,0,0,0,U
57981,U,0,U,0,0,0,0,0,0,0,0
57997,0,0,0,U,U,0,0,0,0,0,0
22116,0,0,0,0,0,0,0,0,U,0,0
68723,0,I,0,0,0,0,0,0,0,0,0
78201,U,U,0,U,U,C,0,U,0,0,0
78202,C,0,0,0,0,0,0,0,0,0,0
78203,C,C,U,U,0,0,0,0,0,0,0
78204,C,C,U,0,0,0,0,0,0,0,0
78205,U,U,0,0,0,0,0,0,0,0,0
78206,I,U,0,0,0,0,0,0,0,0,0
78207,U,U,0,0,0,0,0,0,0,0,0
78208,C,0,0,0,0,0,0,0,0,0,0
78209,U,U,0,0,0,0,0,0,0,0,0
78210,C,0,0,U,0,0,0,0,0,0,0
78211,C,0,0,0,0,0,0,0,0,0,0
78212,U,U,C,0,U,U,U,U,U,0,U
78213,C,0,0,0,0,0,0,0,0,0,0
78214,C,0,0,0,0,0,0,0,0,0,0
78215,C,0,0,0,0,0,0,0,0,0,0
78216,C,0,0,0,0,0,0,0,0,0,0
78217,C,0,0,0,0,0,0,0,0,0,0
78218,U,U,0,U,0,0,0,0,0,0,0
78219,U,U,0,U,C,U,U,U,U,0,0
78220,U,U,U,U,C,U,C,0,0,0,0
78222,C,U,0,0,U,U,0,0,0,0,0
78223,C,0,0,0,0,0,0,0,0,0,0
78224,C,U,0,U,U,U,U,C,0,0,0
78225,U,U,U,I,U,U,0,0,0,0,0
78226,C,0,0,0,0,0,0,C,0,U,0
78227,C,0,U,0,0,0,0,U,U,U,0
78231,C,U,0,0,0,U,C,0,0,0,0
78232,C,I,U,U,0,0,I,U,U,U,0
78234,C,0,U,U,0,0,0,0,0,0,0
78235,C,0,0,U,0,0,0,0,0,0,0
78236,C,U,U,0,0,0,0,0,0,0,0
78237,I,C,U,0,0,U,0,0,0,0,0
78238,I,0,0,0,0,0,0,0,0,0,0
78239,C,0,0,0,0,0,0,0,0,0,0
78240,C,0,0,0,0,0,0,0,0,0,0
78246,U,U,U,0,0,0,0,0,0,0,0
78247,U,0,U,U,0,0,0,0,0,0,0
78253,U,U,U,U,U,U,0,0,0,0,0
78265,0,U,0,0,0,0,0,0,0,0,0
78297,0,0,0,U,C,U,U,0,C,C,I
78306,0,U,U,U,0,U,U,U,0,0,0
78312,0,U,0,0,0,0,0,0,0,0,0
78324,0,0,0,U,U,C,U,0,0,0,0
78334,0,U,0,0,0,0,0,0,0,0,0
78339,0,U,0,0,0,0,0,0,C,0,0
78380,0,0,0,U,U,U,0,U,0,U,U
78404,0,0,0,U,0,0,0,0,0,0,0
78445,0,0,0,0,U,0,0,0,0,0,0
78468,0,0,U,U,C,U,0,0,C,0,0
78473,0,C,0,U,U,U,U,0,0,0,0
78477,0,I,U,0,0,0,0,0,0,0,0
78480,0,C,0,U,U,U,I,I,0,0,0
78492,0,0,0,U,0,0,0,0,0,0,0
78523,0,U,0,0,0,0,0,0,0,0,0
78524,0,0,0,U,U,0,0,C,0,0,U
78529,0,0,U,0,0,0,0,0,0,0,0
78701,0,C,0,U,0,U,0,U,0,0,0
78702,0,U,0,0,U,0,0,0,0,0,0
78704,0,0,C,0,0,0,0,0,0,0,0
78705,0,C,0,0,0,0,0,0,0,0,0
78707,0,I,0,0,0,U,U,0,0,0,0
78712,0,C,0,U,0,0,U,0,0,C,C
78713,0,C,U,U,U,U,C,C,0,0,0
78714,0,U,0,0,0,0,0,0,0,0,0
78715,0,0,C,0,0,U,0,0,0,I,0
78716,0,0,C,U,0,0,U,U,0,I,0
78717,0,0,U,C,0,C,0,C,0,0,0
78718,0,0,U,U,U,U,0,0,0,0,0
78719,0,0,I,0,0,0,0,0,0,0,0
78720,0,0,C,0,U,U,0,U,U,0,U
78721,0,C,U,I,0,I,U,I,U,I,0
78722,0,C,0,0,0,0,0,0,0,0,0
78724,0,C,0,0,0,0,0,0,0,0,0
78725,0,C,0,0,0,0,0,0,0,C,C
78726,0,C,0,0,0,0,0,0,0,0,0
78727,0,C,U,U,0,0,0,0,0,0,0
78728,0,C,U,0,I,0,U,I,0,0,0
78729,0,C,U,U,C,0,U,0,0,0,0
78730,0,C,U,U,U,U,C,C,U,0,0
78741,0,U,0,0,0,0,0,0,0,0,0
78742,0,C,0,0,0,0,0,0,0,0,0
78743,0,U,0,0,0,0,0,0,0,0,0
78751,0,0,C,0,0,C,0,0,0,0,0
78752,0,0,U,U,U,0,0,0,0,0,0
78753,0,0,C,0,U,0,0,0,0,0,0
78754,0,0,C,U,U,U,0,U,0,0,U
78755,0,0,U,U,0,0,0,0,0,0,0
78756,0,0,C,0,0,U,0,0,U,U,U
78757,0,0,I,0,U,0,0,U,C,U,U
78758,0,0,I,0,U,U,0,0,0,0,0
78759,0,0,I,0,0,0,0,0,0,0,0
78760,0,0,U,C,U,U,U,U,C,U,C
78761,0,0,C,U,U,0,U,0,0,0,0
78762,0,0,I,0,I,U,U,I,0,0,0
78763,0,0,C,0,0,0,0,0,0,0,0
78771,0,0,I,0,0,0,0,0,0,0,0
78773,0,0,I,U,0,0,0,0,0,0,0
78774,0,0,U,0,0,0,0,0,0,0,0
78775,0,0,I,0,0,0,0,0,0,0,0
78776,0,0,C,0,0,0,0,0,0,0,0
78777,0,0,C,0,0,0,0,0,0,0,0
78778,0,0,C,U,C,U,0,0,0,0,0
78779,0,0,I,U,U,U,I,I,0,0,0
